Account ID,Instrument,Quantity,Date - Buy/Sell,Date - Placement,Order Status
ACCT_AAPL_ONLY,AAPL,80,2024-10-26,2024-10-25,Filled
ACCT_AAPL_ONLY,AAPL,110,2024-10-29,2024-10-28,Filled
ACCT_AAPL_ONLY,AAPL,70,2024-10-31,2024-10-30,Filled
ACCT_AAPL_ONLY,AAPL,35,2024-11-03,2024-11-03,Filled
ACCT_AAPL_ONLY,AAPL,225,2024-11-06,2024-11-05,Filled
ACCT_AAPL_ONLY,AAPL,300,2024-09-03,2024-09-02,Working
ACCT_AAPL_ONLY,AAPL,100,2024-09-06,2024-09-06,Filled
ACCT_AAPL_ONLY,AAPL,200,2024-09-09,2024-09-08,Filled
ACCT_AAPL_ONLY,AAPL,150,2024-09-12,2024-09-11,Filled
ACCT_AAPL_ONLY,AAPL,75,2024-09-15,2024-09-15,Filled
ACCT_AAPL_ONLY,AAPL,120,2024-09-18,2024-09-17,Filled
ACCT_AAPL_ONLY,AAPL,80,2024-09-21,2024-09-20,Filled
ACCT_AAPL_ONLY,AAPL,250,2024-09-24,2024-09-23,Filled
ACCT_AAPL_ONLY,AAPL,60,2024-09-27,2024-09-27,Filled
ACCT_AAPL_ONLY,AAPL,100,2024-09-30,2024-09-29,Working
ACCT_AAPL_ONLY,AAPL,180,2024-10-03,2024-10-02,Filled
ACCT_MIX3,MCD,100,2024-09-15,2024-09-14,Filled
ACCT_MIX3,KO,50,2024-09-18,2024-09-18,Filled
ACCT_MIX3,PEP,200,2024-09-22,2024-09-21,Filled
ACCT_MIX3,PG,150,2024-09-28,2024-09-27,Filled
ACCT_MIX3,JNJ,75,2024-10-05,2024-10-05,Filled
ACCT_MIX3,WMT,120,2024-10-11,2024-10-10,Filled
ACCT_MIX3,DIS,80,2024-10-18,2024-10-17,Filled
ACCT_MIX3,BA,250,2024-10-25,2024-10-24,Filled
ACCT_MIX3,JPM,60,2024-11-01,2024-11-01,Filled
ACCT_MIX3,XOM,100,2024-11-04,2024-11-03,Working
ACCT_MIX3,UNH,180,2024-09-02,2024-09-01,Filled
ACCT_MIX3,HD,30,2024-09-05,2024-09-05,Filled
ACCT_MIX3,MA,210,2024-09-08,2024-09-08,Filled
ACCT_MIX3,V,90,2024-09-11,2024-09-10,Filled
ACCT_MIX3,CVX,75,2024-09-14,2024-09-14,Cancelled
ACCT_MIX3,COST,50,2024-09-17,2024-09-16,Filled
ACCT_MIX3,MCD,110,2024-09-20,2024-09-19,Filled
ACCT_MIX3,KO,40,2024-09-23,2024-09-23,Filled
ACCT_MIX3,PEP,230,2024-09-26,2024-09-25,Filled
ACCT_MIX3,PG,65,2024-09-29,2024-09-28,Filled
ACCT_MIX3,JNJ,130,2024-10-02,2024-10-01,Filled
ACCT_MIX3,WMT,95,2024-10-05,2024-10-04,Filled
ACCT_MIX3,DIS,45,2024-10-08,2024-10-08,Filled
ACCT_MIX3,BA,55,2024-10-11,2024-10-10,Cancelled
ACCT_MIX3,JPM,115,2024-10-14,2024-10-13,Filled
ACCT_MIX3,XOM,135,2024-10-17,2024-10-16,Filled
ACCT_MIX3,UNH,25,2024-10-20,2024-10-20,Filled
ACCT_MIX3,HD,195,2024-10-23,2024-10-22,Filled
ACCT_MIX3,MA,80,2024-10-26,2024-10-25,Filled
ACCT_MIX3,V,110,2024-10-29,2024-10-28,Filled
ACCT_MIX3,CVX,70,2024-10-31,2024-10-30,Filled
ACCT_MIX3,COST,35,2024-11-03,2024-11-03,Filled
ACCT_MIX3,MCD,225,2024-11-06,2024-11-05,Filled
ACCT_MIX3,KO,300,2024-09-03,2024-09-02,Working
ACCT_MIX3,PEP,100,2024-09-06,2024-09-06,Filled
ACCT_MIX3,PG,200,2024-09-09,2024-09-08,Filled
ACCT_MIX3,JNJ,150,2024-09-12,2024-09-11,Filled
ACCT_MIX3,WMT,75,2024-09-15,2024-09-15,Filled
ACCT_MIX3,DIS,120,2024-09-18,2024-09-17,Filled
ACCT_MIX3,BA,80,2024-09-21,2024-09-20,Filled
ACCT_MIX3,JPM,250,2024-09-24,2024-09-23,Filled
ACCT_MIX3,XOM,60,2024-09-27,2024-09-27,Filled
ACCT_MIX3,UNH,100,2024-09-30,2024-09-29,Working
ACCT_MIX3,HD,180,2024-10-03,2024-10-02,Filled
ACCT_MIX3,MA,30,2024-10-06,2024-10-06,Filled
ACCT_BANK_BA,JPM,100,2024-09-15,2024-09-14,Filled
ACCT_BANK_BA,BAC,50,2024-09-18,2024-09-18,Filled
ACCT_BANK_BA,C,200,2024-09-22,2024-09-21,Filled
ACCT_BANK_BA,WFC,150,2024-09-28,2024-09-27,Filled
ACCT_BANK_BA,BA,75,2024-10-05,2024-10-05,Filled
ACCT_BANK_BA,JPM,120,2024-10-11,2024-10-10,Filled
ACCT_BANK_BA,BAC,80,2024-10-18,2024-10-17,Filled
ACCT_BANK_BA,C,250,2024-10-25,2024-10-24,Filled
ACCT_BANK_BA,WFC,60,2024-11-01,2024-11-01,Filled
ACCT_BANK_BA,BA,100,2024-11-04,2024-11-03,Working
ACCT_BANK_BA,JPM,180,2024-09-02,2024-09-01,Filled
ACCT_BANK_BA,BAC,30,2024-09-05,2024-09-05,Filled
ACCT_BANK_BA,C,210,2024-09-08,2024-09-08,Filled
ACCT_BANK_BA,WFC,90,2024-09-11,2024-09-10,Filled
ACCT_BANK_BA,BA,75,2024-09-14,2024-09-14,Cancelled
ACCT_BANK_BA,JPM,50,2024-09-17,2024-09-16,Filled
ACCT_BANK_BA,BAC,110,2024-09-20,2024-09-19,Filled
ACCT_BANK_BA,C,40,2024-09-23,2024-09-23,Filled
ACCT_BANK_BA,WFC,230,2024-09-26,2024-09-25,Filled
ACCT_BANK_BA,BA,65,2024-09-29,2024-09-28,Filled
ACCT_BANK_BA,JPM,130,2024-10-02,2024-10-01,Filled
ACCT_BANK_BA,BAC,95,2024-10-05,2024-10-04,Filled
ACCT_BANK_BA,C,45,2024-10-08,2024-10-08,Filled
ACCT_BANK_BA,WFC,55,2024-10-11,2024-10-10,Cancelled
ACCT_BANK_BA,BA,115,2024-10-14,2024-10-13,Filled
ACCT_BANK_BA,JPM,135,2024-10-17,2024-10-16,Filled
ACCT_BANK_BA,BAC,25,2024-10-20,2024-10-20,Filled
ACCT_BANK_BA,C,195,2024-10-23,2024-10-22,Filled
ACCT_BANK_BA,WFC,80,2024-10-26,2024-10-25,Filled
ACCT_BANK_BA,BA,110,2024-10-29,2024-10-28,Filled
ACCT_BANK_BA,JPM,70,2024-10-31,2024-10-30,Filled
ACCT_BANK_BA,BAC,35,2024-11-03,2024-11-03,Filled
ACCT_BANK_BA,C,225,2024-11-06,2024-11-05,Filled
ACCT_BANK_BA,WFC,300,2024-09-03,2024-09-02,Working
ACCT_BANK_BA,BA,100,2024-09-06,2024-09-06,Filled
ACCT_BANK_BA,JPM,200,2024-09-09,2024-09-08,Filled
ACCT_BANK_BA,BAC,150,2024-09-12,2024-09-11,Filled
ACCT_BANK_BA,C,75,2024-09-15,2024-09-15,Filled
ACCT_BANK_BA,WFC,120,2024-09-18,2024-09-17,Filled
ACCT_BANK_BA,BA,80,2024-09-21,2024-09-20,Filled
ACCT_BANK_BA,JPM,250,2024-09-24,2024-09-23,Filled
ACCT_BANK_BA,BAC,60,2024-09-27,2024-09-27,Filled
ACCT_BANK_BA,C,100,2024-09-30,2024-09-29,Working
ACCT_BANK_BA,WFC,180,2024-10-03,2024-10-02,Filled
ACCT_BANK_BA,BA,30,2024-10-06,2024-10-06,Filled
ACCT_HD_DIS_UNH,HD,100,2024-09-15,2024-09-14,Filled
ACCT_HD_DIS_UNH,DIS,50,2024-09-18,2024-09-18,Filled
ACCT_HD_DIS_UNH,UNH,200,2024-09-22,2024-09-21,Filled
ACCT_HD_DIS_UNH,HD,150,2024-09-28,2024-09-27,Filled
ACCT_HD_DIS_UNH,DIS,75,2024-10-05,2024-10-05,Filled
ACCT_HD_DIS_UNH,UNH,120,2024-10-11,2024-10-10,Filled
ACCT_HD_DIS_UNH,HD,80,2024-10-18,2024-10-17,Filled
ACCT_HD_DIS_UNH,DIS,250,2024-10-25,2024-10-24,Filled
ACCT_HD_DIS_UNH,UNH,60,2024-11-01,2024-11-01,Filled
ACCT_HD_DIS_UNH,HD,100,2024-11-04,2024-11-03,Working
ACCT_HD_DIS_UNH,DIS,180,2024-09-02,2024-09-01,Filled
ACCT_HD_DIS_UNH,UNH,30,2024-09-05,2024-09-05,Filled
ACCT_HD_DIS_UNH,HD,210,2024-09-08,2024-09-08,Filled
ACCT_HD_DIS_UNH,DIS,90,2024-09-11,2024-09-10,Filled
ACCT_HD_DIS_UNH,UNH,75,2024-09-14,2024-09-14,Cancelled
ACCT_HD_DIS_UNH,HD,50,2024-09-17,2024-09-16,Filled
ACCT_HD_DIS_UNH,DIS,110,2024-09-20,2024-09-19,Filled
ACCT_HD_DIS_UNH,UNH,40,2024-09-23,2024-09-23,Filled
ACCT_HD_DIS_UNH,HD,230,2024-09-26,2024-09-25,Filled
ACCT_HD_DIS_UNH,DIS,65,2024-09-29,2024-09-28,Filled
ACCT_HD_DIS_UNH,UNH,130,2024-10-02,2024-10-01,Filled
ACCT_HD_DIS_UNH,HD,95,2024-10-05,2024-10-04,Filled
ACCT_HD_DIS_UNH,DIS,45,2024-10-08,2024-10-08,Filled
ACCT_HD_DIS_UNH,UNH,55,2024-10-11,2024-10-10,Cancelled
ACCT_HD_DIS_UNH,HD,115,2024-10-14,2024-10-13,Filled
ACCT_HD_DIS_UNH,DIS,135,2024-10-17,2024-10-16,Filled
ACCT_HD_DIS_UNH,UNH,25,2024-10-20,2024-10-20,Filled
ACCT_HD_DIS_UNH,HD,195,2024-10-23,2024-10-22,Filled
ACCT_HD_DIS_UNH,DIS,80,2024-10-26,2024-10-25,Filled
ACCT_HD_DIS_UNH,UNH,110,2024-10-29,2024-10-28,Filled
ACCT_HD_DIS_UNH,HD,70,2024-10-31,2024-10-30,Filled
ACCT_HD_DIS_UNH,DIS,35,2024-11-03,2024-11-03,Filled
ACCT_HD_DIS_UNH,UNH,225,2024-11-06,2024-11-05,Filled
ACCT_HD_DIS_UNH,HD,300,2024-09-03,2024-09-02,Working
ACCT_HD_DIS_UNH,DIS,100,2024-09-06,2024-09-06,Filled
ACCT_HD_DIS_UNH,UNH,200,2024-09-09,2024-09-08,Filled
ACCT_HD_DIS_UNH,HD,150,2024-09-12,2024-09-11,Filled
ACCT_HD_DIS_UNH,DIS,75,2024-09-15,2024-09-15,Filled
ACCT_HD_DIS_UNH,UNH,120,2024-09-18,2024-09-17,Filled
ACCT_HD_DIS_UNH,HD,80,2024-09-21,2024-09-20,Filled
ACCT_HD_DIS_UNH,DIS,250,2024-09-24,2024-09-23,Filled
ACCT_HD_DIS_UNH,UNH,60,2024-09-27,2024-09-27,Filled
